,Date,County,Avg_PM2.5,AQI_Category
192,2020-01-09,Multnomah,6.2375,Good
193,2020-01-09,Umatilla,2.7041666666666697,Good
194,2020-01-09,Union,2.92916666666667,Good
195,2020-01-09,Wallowa,4.0958333333333306,Good
196,2020-01-09,Wasco,,NA
197,2020-01-09,Washington,7.5874999999999995,Good
198,2020-01-10,Baker,7.20833333333333,Good
199,2020-01-10,Benton,3.7083333333333304,Good
200,2020-01-10,Clackamas,,NA
201,2020-01-10,Crook,3.53333333333333,Good
202,2020-01-10,Deschutes,3.058333333333335,Good
203,2020-01-10,Douglas,4.07916666666667,Good
204,2020-01-10,Grant,12.9916666666667,Moderate
205,2020-01-10,Harney,7.58333333333333,Good
206,2020-01-10,Jackson,8.083333333333334,Good
207,2020-01-10,Jefferson,4.5625,Good
208,2020-01-10,Josephine,8.140277777777767,Good
209,2020-01-10,Klamath,6.6125,Good
210,2020-01-10,Lake,8.67916666666667,Good
211,2020-01-10,Lane,4.1049999999999995,Good
212,2020-01-10,Linn,4.31111111111111,Good
213,2020-01-10,Marion,3.37916666666667,Good
214,2020-01-10,Multnomah,3.2791666666666663,Good
215,2020-01-10,Umatilla,4.37916666666667,Good
216,2020-01-10,Union,4.68333333333333,Good
217,2020-01-10,Wallowa,6.1375,Good
218,2020-01-10,Wasco,,NA
219,2020-01-10,Washington,3.5944444444444463,Good
220,2020-01-11,Baker,7.63333333333333,Good
221,2020-01-11,Benton,3.9375,Good
222,2020-01-11,Clackamas,,NA
223,2020-01-11,Crook,1.59583333333333,Good
224,2020-01-11,Deschutes,1.65,Good
225,2020-01-11,Douglas,3.2041666666666697,Good
226,2020-01-11,Grant,5.44166666666667,Good
227,2020-01-11,Harney,3.2083333333333304,Good
228,2020-01-11,Jackson,6.041666666666667,Good
229,2020-01-11,Jefferson,1.8541666666666698,Good
230,2020-01-11,Josephine,4.490277777777776,Good
231,2020-01-11,Klamath,1.675,Good
232,2020-01-11,Lake,3.0416666666666696,Good
233,2020-01-11,Lane,3.4256944444444435,Good
234,2020-01-11,Linn,3.2986111111111103,Good
235,2020-01-11,Marion,3.65833333333333,Good
236,2020-01-11,Multnomah,2.50833333333333,Good
237,2020-01-11,Umatilla,1.6125,Good
238,2020-01-11,Union,3.15833333333333,Good
239,2020-01-11,Wallowa,2.1666666666666696,Good
240,2020-01-11,Wasco,,NA
241,2020-01-11,Washington,2.965277777777777,Good
242,2020-01-12,Baker,4.20416666666667,Good
243,2020-01-12,Benton,2.59583333333333,Good
244,2020-01-12,Clackamas,,NA
245,2020-01-12,Crook,4.18333333333333,Good
246,2020-01-12,Deschutes,1.370833333333335,Good
